"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"247","Live anyone 😼","@REALWAYKING","https://yt3.ggpht.com/OmMpoaxMyPg0z1na4tUUNsAkbVVNV-X5Cqhi8RJiL_gLVWC_LZWIixP1J8Yi91Upn1tWMJLrGA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@REALWAYKING","UCgfmq1QThck6JG1g2eKwDlA","0","0","2024-04-27T22:24:38Z","2024-04-27T22:24:38Z","Ugzhr2TvV-Rn09_ntJR4AaABAg",NA,"JGwWNGJdvx8"
"248","A wonder for the soul ❤️","@kookiebunnygirl9260","https://yt3.ggpht.com/BqY7QJx6dPkYw5wK8Zw7O2TGvmVcdrCZ-X8IbiWdTzcdILb5VFNQ9k9OmqsKGr7Ky_7MP2dW4g=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@kookiebunnygirl9260","UCSd4fjpiyWqb7SCsyadgsAg","0","0","2024-04-27T22:12:39Z","2024-04-27T22:12:39Z","UgwTcjDkc-NQ6yEyiD94AaABAg",NA,"JGwWNGJdvx8"
"249","Me","@joeysmoon","https://yt3.ggpht.com/ytc/AIdro_ms2Bnh_GQblaVLOYJVFzjHpGS9e9ckkPbqg1l2oA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@joeysmoon","UCUtkzewqASroh9JjjxcnFtQ","0","0","2024-04-27T22:09:35Z","2024-04-27T22:09:35Z","UgwSvGUFEc3mlJfYQ9l4AaABAg",NA,"JGwWNGJdvx8"
"250","नेपाली बाट कमेण्ट गरेर हेरौ है त 😂","@ramailowithraidev3695","https://yt3.ggpht.com/pFvRsRhSttybyCSc2MSdTIomJDPdTNhTewICsbFyhN2G_jXuXcbCpypRLdM5zkAd_QA0cTPOZhE=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@ramailowithraidev3695","UCJ4YeZWvJd4e627FerTX3WA","0","0","2024-04-27T22:07:10Z","2024-04-27T22:07:10Z","UgxTTrlAkmlJxFwr9UR4AaABAg",NA,"JGwWNGJdvx8"
"251","Any one else from 2026","@frige-_-10k","https://yt3.ggpht.com/ytc/AIdro_nZfCLnM44mNUF7Crj4E-PgqfmlmAhJ-PV5eut_kfXa_yTwgefCrxm4i3Gyba6fyhYSEw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@frige-_-10k","UCxLV3wZYiHtL3C5KBpRrGUg","0","0","2024-04-27T22:05:44Z","2024-04-27T22:05:44Z","UgwQ_TkHdT4tv-k4oMN4AaABAg",NA,"JGwWNGJdvx8"
"252","https://youtube.com/shorts/9KBxqZOFC4E?si=UqkUBdUf1Pb-i2of","@user-vy9fp5sw9n","https://yt3.ggpht.com/SBcRE26Z02QkBdNRu0hsy2VWzaTugiiR4_MXOU015Fpy-J7oyaBL2ax2M6RX7a8O1NwrIVbrNw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-vy9fp5sw9n","UC-MHpwXUqN7hCE3-dBrbyxg","0","0","2024-04-27T22:00:23Z","2024-04-27T22:00:23Z","UgyZ0mKsgHeE-NdREAh4AaABAg",NA,"JGwWNGJdvx8"
"253","Father the script between the start and girl at the finish announcing all consequences to slide does it matter about rules to prepare for life when traveling just wanted to pass talking much about the beginning of time where all you know is that it has to change in order to spell the ending in fashion of growing distance covered controls loves the shape of you, going out on our first date this girl and me are doing ok now that the radio is the spot she can weigh the damned over the righteous who push and pull as a magnitude colors smell like you in comparisons of senses!","@kennethwilliams5230","https://yt3.ggpht.com/ytc/AIdro_npi5Dw8aGAww111P5Cg02-ZB0y-EkdkIJsXNwL5Gua4ro=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@kennethwilliams5230","UC2TAYfHD2rE-nbQGg5-sH_g","0","1","2024-04-27T21:19:48Z","2024-04-27T21:19:48Z","UgwGqHVI_xQHLmeT6ZB4AaABAg",NA,"JGwWNGJdvx8"
"254","Me 2024","@santoscondorisalluca","https://yt3.ggpht.com/SyEqGNFyKlbJX-utHonYrfR7J_GmR_uTKYRSaUppgaIVmsWj5Hi4Moi_UvcsgbhRH-jKNeDWtw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@santoscondorisalluca","UCCM5n2aOI9QvXuF8PUza7fg","0","0","2024-04-27T21:09:42Z","2024-04-27T21:09:42Z","UgwcKAuIR4-qrEWFjJp4AaABAg",NA,"JGwWNGJdvx8"
"255","I like music❤❤","@andrijajadzic7888","https://yt3.ggpht.com/dERD3yf8sNFO9dX32gF2iddjnn1HwSe92Zbo4z6B0Dxu5XCJa63y-9JPdkiE3vsBhulNIF4_=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@andrijajadzic7888","UCJP1uKaVzjNBEkexRHkMtDQ","0","0","2024-04-27T20:40:57Z","2024-04-27T20:40:57Z","UgyYZvlhOXvOduxoH2Z4AaABAg",NA,"JGwWNGJdvx8"
"256","Jes","@user-ez9yg5hc8g","https://yt3.ggpht.com/ytc/AIdro_k3Uj98NXbkVdT_8NBl8-xyo_6GOGggHuqlTBhRCFll3O7ebUx3TA2UIOiS--bGrjiboA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-ez9yg5hc8g","UCmir3XjokY6aaFsnyRTFI3w","0","0","2024-04-27T20:05:41Z","2024-04-27T20:05:41Z","UgwhpZ9HgDMW653utY54AaABAg",NA,"JGwWNGJdvx8"
