"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"304","Amor❤❤alison","@JulietaMendez-vv9eo","https://yt3.ggpht.com/ytc/AIdro_kjUVrqCB6UWF75gLzU932nE3hFxWgq9DnF2J5ZgTdjAIb7ONkpz4bBRKOhrX02vgoUJA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@JulietaMendez-vv9eo","UCfaCtcn2lreBi1NBEaxvCvw","0","1","2024-03-13T18:30:16Z","2024-03-13T18:30:16Z","UgxpY8WebpZftNu4kBx4AaABAg",NA,"y83x7MgzWOA"
"305","AMOOOOOOOOOOOOOOOOOO","@fernanda.llaurindo","https://yt3.ggpht.com/NI1uc5U7IRzPDWcnsgsmDPjEFnB9vxmbrNbbVnqpxBN3mHOD-7Gq4EIFgYM9OxaHunP8QOc0=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@fernanda.llaurindo","UCoscb7oivLLZGt6jCi40pkA","0","0","2024-03-13T18:19:21Z","2024-03-13T18:19:21Z","UgwCP4QDO-cTps5r8pV4AaABAg",NA,"y83x7MgzWOA"
"306","When a kid learns PhotoShop","@alamin.utopia","https://yt3.ggpht.com/HFnZzZ8PxVh4xOOBlsXhATS4FY4Bd3mpkoPsEnEYJj9P_n82G2fF0aL8mWu-bXUQzu0pSduH=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@alamin.utopia","UC6n6kLLqeH6nqAHUbXjZssg","0","0","2024-03-13T18:15:58Z","2024-03-13T18:15:58Z","UgxjSOJEtxaHVi5vwKF4AaABAg",NA,"y83x7MgzWOA"
"307","I can't get enough of this damn song ❤","@dianarussell2113","https://yt3.ggpht.com/ytc/AIdro_nkwyjNjXiTbomljA7uogixZrzODDBJARZoRWe5u8Oz1e7OolmJA7H9ZsVkbBDlarhMIg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@dianarussell2113","UCByCmALLrjNOkBDxfjap7yQ","0","0","2024-03-13T17:15:56Z","2024-03-13T17:15:56Z","UgzJMI0Y_e9chAHPZkJ4AaABAg",NA,"y83x7MgzWOA"
"308","Love it 🖤","@matkazapletalova6842","https://yt3.ggpht.com/OzeXf0VkY2XpWrlRRsDdYGTEOw6QUpRCLbYV7Bg3lVkEpDroc25zlFEShWi-Mj1LvslvDnF83Fo=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@matkazapletalova6842","UCmT0-ugAkylU5Bamoa78cBg","0","1","2024-03-13T16:24:35Z","2024-03-13T16:24:35Z","Ugxy5_Y6JCPUUH47Otd4AaABAg",NA,"y83x7MgzWOA"
"309","Cant see this","@julianaalcantara3595","https://yt3.ggpht.com/ytc/AIdro_mOilGYpIovNFyjEyYG4Z2Js-EKVEDaiCUCE6lvPzWyG4asrDDVL1cQwPOC6E5bliBbVg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@julianaalcantara3595","UCn296MagqybJdgA3mZ2kysw","0","0","2024-03-13T13:26:17Z","2024-03-13T13:26:17Z","UgzBpidfMtD1K6Mawnp4AaABAg",NA,"y83x7MgzWOA"
"310","slay","@zandriobi","https://yt3.ggpht.com/CzX6DxhsvaTZFyTDA6MXUGQZRnS0vPflOutLBlgzE1Go-Js8b8DK5-VQB2npvQN_RVfwgg8i7Fc=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@zandriobi","UCimPJoOUkhGm1TPg8m_SRXw","0","0","2024-03-13T10:25:36Z","2024-03-13T10:25:36Z","Ugzmj-tAEAMUr2PNqiN4AaABAg",NA,"y83x7MgzWOA"
"311","2024 anyone? I dont ask likes for this comment,. but.. i think i am the only person listening this in 2024","@Si.ves.esto.te.felicito.","https://yt3.ggpht.com/qudY7TBvu3NAcRPxoiLIIwK_I5pc4b9nwUsGA4m1ZkHkiJAIV_vSgZD-iYS_ecDKMsxmtGBTXA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Si.ves.esto.te.felicito.","UCpCWrucGWVn8gfIvvl8sHeA","2","3","2024-03-12T16:48:52Z","2024-03-12T16:48:52Z","Ugy33ejTKdwK5H9chMB4AaABAg",NA,"y83x7MgzWOA"
"312","2024❤😂","@user-og7mw7pv7f","https://yt3.ggpht.com/8zvGoV82Uc43ntreL5WVWND3b7s7L8GTn5hSzHNftkKHRXxr7NZ3i_Mn9lVF_P2CnC6yR5rfLA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-og7mw7pv7f","UCjP_UWz88itscbGt7qD2iFQ","0","0","2024-03-12T13:29:22Z","2024-03-12T13:29:22Z","UgweaOaRx6hlBSBlP6t4AaABAg",NA,"y83x7MgzWOA"
"313","-shape of you
-thinking out loud
-i don't care 
It makes sense lol","@newpre-jw8ey","https://yt3.ggpht.com/ytc/AIdro_mS7ZW0HsPy6zl7d6yquO4kWn1m9yms6J3Bqqkkgj1i98jeLCXdXmySJ_MzX2tbjRBORA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@newpre-jw8ey","UCsBqe6H1H7V3E43Azn3bF7Q","0","1","2024-03-12T07:52:27Z","2024-03-12T07:52:27Z","UgxTFGAhf5d6rYAqxh94AaABAg",NA,"y83x7MgzWOA"
"314","If you know what panda eyes means and the jb p Diddy revelations","@JohnSmith-hx1ut","https://yt3.ggpht.com/ytc/AIdro_kaJCkFoCF7eoEAhb5g9WPVYYRYfaeQCO4DeLjB3W4=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@JohnSmith-hx1ut","UCXriM5Ot-xKxn-hk1G-qd_Q","0","0","2024-03-12T03:01:27Z","2024-03-12T03:01:27Z","UgxpTt0HOsxN4zNYnE14AaABAg",NA,"y83x7MgzWOA"
"315","Listening at quezon city","@Tvbuns","https://yt3.ggpht.com/r3PcAwyBBKaF--8La8_1TISWXJag5FIx-wdPxX68k-eQs-26xReclhKdo7KEDYyfaKkoBtCaHQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Tvbuns","UClpGnRn1tZ35RS4ISoBVDNA","0","0","2024-03-11T08:03:29Z","2024-03-11T08:03:29Z","Ugy2AcbDeBly6t7y3SB4AaABAg",NA,"y83x7MgzWOA"
"316","11/03/2024 listening this masterpiece 💟","@Allenapeto","https://yt3.ggpht.com/BnvziiBGV9OtJnL2cInZSFbcv1eJhS5UvaWFCfXgV2Yh3EmQR2Ikqq4-Wl-Lme6rJCOJ2yR4gA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Allenapeto","UCmGXH3KpnjKqo1edcp2QqXg","0","0","2024-03-11T07:22:50Z","2024-03-11T07:22:50Z","UgxEuiuFNDLQ398a5-p4AaABAg",NA,"y83x7MgzWOA"
"317","2024 anyone ?","@janani596","https://yt3.ggpht.com/pTCl0_RL6GORMFRyT3MmnevDmDgKk9et7F1Iupvvbr9F2GhrrOp6BFsRyS7eZpxiehA7zL3IeQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@janani596","UCcghav0SZb9pNyM0eaEtL8A","151","1451","2024-03-11T06:45:05Z","2024-03-11T06:45:05Z","Ugzz-REv_q56b1Fmp0x4AaABAg",NA,"y83x7MgzWOA"
"318","Hey I wanna Just see that how many people listen this song in 2024😌✌️","@sameerkumar3222","https://yt3.ggpht.com/UQYzX_DEydfytzvTt5ufoJCkpf_ho_A1Jd2sgRZPInvHFom5Ke3dJPzy8fVmLxJcO_Q1y6fK0Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@sameerkumar3222","UCTKgcGMFnzpcObB0BfFaXEQ","0","0","2024-03-10T11:25:26Z","2024-03-10T11:25:26Z","UgzTDYFKRTyGRbPsyWR4AaABAg",NA,"y83x7MgzWOA"
"319","We have the worst but actually nice aditor-for justin and ed","@newpre-jw8ey","https://yt3.ggpht.com/ytc/AIdro_mS7ZW0HsPy6zl7d6yquO4kWn1m9yms6J3Bqqkkgj1i98jeLCXdXmySJ_MzX2tbjRBORA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@newpre-jw8ey","UCsBqe6H1H7V3E43Azn3bF7Q","0","0","2024-03-10T07:51:02Z","2024-03-10T07:51:02Z","Ugx6ykMHYETC8ri5PbZ4AaABAg",NA,"y83x7MgzWOA"
"320","This song was a big hit 🎯 in 2019","@crystalcollier7821","https://yt3.ggpht.com/ytc/AIdro_ko1bohorF43L7N2__iJfOUyGv9D49vh-by5RaRd0cxtbmO0Gkh_JsO8dPHhC3VE0oMug=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@crystalcollier7821","UCOvL8R0tFrqQ3NhG1KrdtRg","0","3","2024-03-10T05:21:39Z","2024-03-10T05:21:39Z","Ugz8JRdRztIn-CVTCWp4AaABAg",NA,"y83x7MgzWOA"
"321","Thts actually me , when i being the editor😂","@ellcohoofficial7591","https://yt3.ggpht.com/ytc/AIdro_lDa46amt4gQPGeZ6y8Qu6FJbPoz5XkBB14TpjPD1e3Lw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@ellcohoofficial7591","UColn_n_qmdJooUegLcNcKag","0","0","2024-03-09T22:58:56Z","2024-03-09T22:58:56Z","Ugws-bFG9KmFb98GjOx4AaABAg",NA,"y83x7MgzWOA"
